transaction_date,year_transacted,month_transacted,town,is_mature,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,remaining_years,remaining_months,remaining_whole,resale_price
2017-01,2017,1,ANG MO KIO,Y,4 ROOM,588C,ANG MO KIO ST 52,13 TO 15,90,DBSS,2011,93 years 08 months,93,8,93.67,688000
2017-01,2017,1,ANG MO KIO,Y,4 ROOM,588D,ANG MO KIO ST 52,19 TO 21,91,DBSS,2011,93 years 07 months,93,7,93.58,730000
2017-01,2017,1,ANG MO KIO,Y,4 ROOM,588D,ANG MO KIO ST 52,22 TO 24,91,DBSS,2011,93 years 07 months,93,7,93.58,756000
2017-01,2017,1,ANG MO KIO,Y,5 ROOM,588A,ANG MO KIO ST 52,10 TO 12,112,DBSS,2011,93 years 07 months,93,7,93.58,770000
2017-01,2017,1,ANG MO KIO,Y,5 ROOM,310A,ANG MO KIO AVE 1,10 TO 12,121,Improved,2012,94 years 08 months,94,8,94.67,832000
2017-01,2017,1,BEDOK,Y,4 ROOM,220B,BEDOK CTRL,10 TO 12,97,Model A,2010,92 years 04 months,92,4,92.33,671000
2017-01,2017,1,BEDOK,Y,5 ROOM,219C,BEDOK CTRL,13 TO 15,112,Improved,2010,92 years 04 months,92,4,92.33,795000
2017-01,2017,1,BISHAN,Y,4 ROOM,275A,BISHAN ST 24,34 TO 36,95,DBSS,2011,93 years 07 months,93,7,93.58,808000
2017-01,2017,1,BISHAN,Y,5 ROOM,275A,BISHAN ST 24,04 TO 06,120,DBSS,2011,93 years 08 months,93,8,93.67,830000
2017-01,2017,1,BUKIT MERAH,Y,3 ROOM,80C,TELOK BLANGAH ST 31,13 TO 15,68,Premium Apartment,2013,95 years 07 months,95,7,95.58,580000
2017-01,2017,1,BUKIT MERAH,Y,3 ROOM,54,HAVELOCK RD,22 TO 24,69,Model A,2013,95 years 04 months,95,4,95.33,650000
2017-01,2017,1,BUKIT MERAH,Y,4 ROOM,80A,TELOK BLANGAH ST 31,04 TO 06,95,Premium Apartment,2013,95 years 08 months,95,8,95.67,648000
2017-01,2017,1,BUKIT MERAH,Y,4 ROOM,80A,TELOK BLANGAH ST 31,04 TO 06,95,Premium Apartment,2013,95 years 07 months,95,7,95.58,680000
2017-01,2017,1,BUKIT MERAH,Y,4 ROOM,80A,TELOK BLANGAH ST 31,04 TO 06,95,Premium Apartment,2013,95 years 07 months,95,7,95.58,688000
2017-01,2017,1,BUKIT MERAH,Y,4 ROOM,27A,JLN MEMBINA,04 TO 06,90,Model A,2008,90 years 11 months,90,11,90.92,690000
2017-01,2017,1,BUKIT MERAH,Y,4 ROOM,27A,JLN MEMBINA,13 TO 15,85,Model A,2008,90 years 11 months,90,11,90.92,735000
2017-01,2017,1,BUKIT MERAH,Y,4 ROOM,27A,JLN MEMBINA,22 TO 24,85,Model A,2008,90 years 11 months,90,11,90.92,748000
2017-01,2017,1,BUKIT MERAH,Y,4 ROOM,57,HAVELOCK RD,28 TO 30,89,Model A,2013,95 years 04 months,95,4,95.33,790000
2017-01,2017,1,BUKIT MERAH,Y,4 ROOM,80A,TELOK BLANGAH ST 31,28 TO 30,95,Premium Apartment,2013,95 years 07 months,95,7,95.58,865000
2017-01,2017,1,BUKIT PANJANG,N,3 ROOM,458,SEGAR RD,13 TO 15,68,Premium Apartment,2012,94 years 10 months,94,10,94.83,325000
2017-01,2017,1,BUKIT PANJANG,N,4 ROOM,455,SEGAR RD,07 TO 09,93,Premium Apartment,2012,94 years 10 months,94,10,94.83,410000
2017-01,2017,1,CENTRAL AREA,Y,4 ROOM,1C,CANTONMENT RD,04 TO 06,93,Type S1,2011,93 years,93,0,93,788000
2017-01,2017,1,CENTRAL AREA,Y,4 ROOM,1F,CANTONMENT RD,04 TO 06,95,Type S1,2011,93 years,93,0,93,818000
2017-01,2017,1,CENTRAL AREA,Y,4 ROOM,1F,CANTONMENT RD,37 TO 39,95,Type S1,2011,93 years,93,0,93,903000
2017-01,2017,1,CENTRAL AREA,Y,5 ROOM,1B,CANTONMENT RD,49 TO 51,105,Type S2,2011,93 years,93,0,93,1108000
2017-01,2017,1,CLEMENTI,Y,3 ROOM,418,CLEMENTI AVE 1,13 TO 15,70,Model A,2013,95 years 08 months,95,8,95.67,528000
2017-01,2017,1,HOUGANG,N,2 ROOM,986A,BUANGKOK CRES,10 TO 12,47,Model A,2012,94 years 04 months,94,4,94.33,252000
2017-01,2017,1,JURONG EAST,N,4 ROOM,22,TEBAN GDNS RD,19 TO 21,92,Model A,2013,95 years 09 months,95,9,95.75,450000
